judul,isi_laporan,info,link
Penerangan Jalan Umum (PJU),"Apakah Di Kecamatan Cibugel akan diadakan penambahan lampu Penerangan jalan umum (PJU) ?, karena di kecamatan cibugel saya rasa masih kurang lampu PJU nya ,banyak jalanan yang gelap , hanya mengandalkan penerangan dari rumah warga yang kebetulan rumahnya dipinggir jalan ... Mohon bantuan informasinya pak / bu",,https://www.lapor.go.id/laporan/detil/penerangan-jalan-umum-pju--202602240854421771898082683
Konsultasi Pengaduan,Cara pengaduan atau konsultasi terkait ternak tetangga yg menimbulkan bau mengganggu kenyamanan tetangga lainya,,https://www.lapor.go.id/laporan/detil/konsultasi-pengaduan-202604061415361775459736252
"Warga Perumahan Queensland Sumedang Keluhkan Krisis Air Dan Listrik,Sistem Grenase Buruk . Pengembang Diduga Lalaiwarga Perumahan Queensland Sumedang Keluhkan Krisis Air Dan Listrik,Sistem Grenase Buruk . Pengembang Diduga Lalai","Warga perumahan queensland residence di dusun cigangsa, desa cijati, kecamatan situraja, mengeluhkan buruknya fasilitas dasar yang seharusnya menjadi tanggung jawab pihak pengembang. sejak dua tahun berdiri, perumahan tersebut diduga belum memenuhi standar kelayakan, terutama dalam penyediaan listrik, air bersih, dan drainase.
dari total 20 unit rumah yang telah dibangun, baru 14 unit yang sudah ditempati warga. namun, hingga kini fasilitas listrik per rumah belum terpasang secara mandiri.","  SENIN, 2025/12/22 |   PERMUKIMAN |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/warga-perumahan-queensland-sumedang-keluhkan-krisis-air-dan-listrik-sistem-grenase-buruk-pengembang-diduga-lalaiwarga-perumahan-queensland-sumedang-keluhkan-krisis-air-dan-listrik-sistem-grenase-buruk-pengembang-diduga-lalai-202512220958371766372317379
Keluhan copy resep pemnelian obat diluar Apotek RSUD Umar Wirahadikusumah,"Kronologi kejadian :Tanggal 9 Januari 2026 datang kontrol berobat ke Poli Dalam diberikan copy resep untuk membeli obat diluar seharga 468.000. Datang kembali berobat ke Poli Dalam mengambil obat ke apotek Rawat Jalan Tanggal 18 Februari 2026 (Jadwal kontrol berubah karena ada pemberitahuan perubahan jadwal). Mengeluhkan tentang pembelian obat copy resep diluar kepada pihak Apotek Rawat Jalan lalu mendapatkan informasi dari Pa Herman petugas Apotek Rawat Jalan bahwa obat copy resep yang dibeli diluar RSUD dapat penggantian dari RSUD. Pembelian obat copyresep diluar seharga Rp. 468.000,- di ganti oleh RSUD pada tanggal 20 Februari. Tetapi kenapa pada saat berobat kembali ke Poli Dalam dan mendapatkan kembali copy resep beli obat diluar seharga Rp. 371.500,- jawaban dari Pa Herman tidak dapat mengajukan penggantian kepada RSUD karena hanya boleh satu bulan satu kali penggantian dan hanya obat generik saja yang mendapat penggantian dan pada saat pengembalian uang yang pertama juga Rp. 468.000,- sebetulnya itu ada kekeliruan.Sebagai pasien berharap ada keterbukaan informasi publik.Aturan harus jelas disampaikan secara lengkap.",,https://www.lapor.go.id/laporan/detil/keluhan-copy-resep-pemnelian-obat-diluar-apotek-rsud-umar-wirahadikusumah-202603091014201773026060525
TPT Dapur Rumah Ambruk,"Waktu kejadian:Senin, 3 Mei 2026 pkl 18.45 WIBLokasi : Dusun Pasirmalang RT 01 RW 05 Desa Cibunar Kec. RancakalongB. Uraian Kejadian:Pada hari Minggu, 6 Mei 2026 Pukul 18.30 WIB cuaca EXTREME ( Hujan dengan Intensitas Tinggi) mengakibatkan TPT Rumah Bagian Dapur Ambruk a.n Abdul Yazid, darmawan dan iwan , material longsoran menimpa rumah an Dede.",,https://www.lapor.go.id/laporan/detil/tpt-dapur-rumah-ambruk-202605040830271777858227714
Permintaan Kartu Kia,"Izin melaporkan bahwa sy telah melakukan permintaan penerbitan kartu kia utk anak saya di web pemkab sumedang yaitu tahu.sumedang.go.id. dan di web nya status sudah selesai dalam pengiriman. tapi saya blm menerima kartu kia nya. berbeda dgn sblmnya permintaan ktp sy lewat web jg langsung jadi dan diterima sy sesuai status. mohon dibantu
sy jg lampirkan bukti webnya","  SELASA, 2026/01/20 |   APLIKASI KEPENDUDUKAN |   LAPORAN 3 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/permintaan-kartu-kia-202601202053571768917237609
Proses penyelesaian sertifikat tanah yang tidak kunjung selesai,Proses penyelesaian sertifikat tanah yang tidak kunjung selesai. Disampaikan melalui Surat Aduan perihal Tindak lanjut atas pengaduan dan ketidaktepatan pelaksanaan surat pernyataan oleh pegawai kelurahan Situ,,https://www.lapor.go.id/laporan/detil/proses-penyelesaian-sertifikat-tanah-yang-tidak-kunjung-selesai-202601301428491769758129757
"Pengaduan Pasien melalui Google Review dan WhatsApp Pengaduan Tgl 15 November 2025 Sumedang, 18 November 2025 Kepada : Yth. Bapak/Ibu Pasien RSUD Umar Wirahadikusumah Kabupaten Sumedang di","1.Pelayanan kinerja pekerja rumah sakit terhadap pasien2.Untuk ct scan kepala tanpa kontars apa memang harus di jadwalkan jam tertentu dan tidak bisa cito tindakan?3.Kenapa harus keluarga pasien yang meminta konsul ke dokter bukannya dokter jaga igd dan perawat yang menangani peratama kali saat pasien tiba di igd ? 4. Kenapa keluarga pasien yang meminta untuk operasi bukannya dokter atau perawat yanh konsul ke spesialistnya tentang keaadaan pasien ?55.Alasan di tolak icu karena penolakan tindakan operasi, tapi di lihat kondisi pasien dari hasil observasi emmang tidak bisa masuk icu? Syarat masuk icu emang harus apa operasi saja?66.Jangan selalu memyalahkan keliarga pasien karena minim pengetahuan tentang kesehatan tapi coba dari tutur kata untuk penyampaian harus bisa menjelaskan dengan enak.67.Jangan men judge kematian seseorang dari keadaan pasien tapi optimalkan tindakan yang ada68.Jangan suka memilah pasien karena bpjs nya dari pemerintah69.Tolong untuk pihak nakes anda bekerja dengan sumpah anda yang anda terima sebelum anda siap bekerjaTerimakasihSaya menegluh di sini supaya kedepannya tidak ada korban lagi yang di alami keluarga saya sekarang, percuma ada fasilitas pengaduan kalau hanya fasilitas dan tidak di gunakan.Pengaduan ada demi kepentingan rumah sakit dan pasien kedepannya.Terimakasih",,https://www.lapor.go.id/laporan/detil/pengaduan-pasien-melalui-google-review-dan-whatsapp-pengaduan-tgl-15-november-2025-sumedang-18-november-2025-kepada-yth-bapak-ibu-pasien-rsud-umar-wirahadikusumah-kabupaten-sumedang-di-202512121349051765522145188
Informasi Benih Ikan,Upami bibit nila merah bangkok nyondong pak?,,https://www.lapor.go.id/laporan/detil/informasi-benih-ikan-202604061158061775451486916
TPT halaman Rumah Ambruk akibat intensitas Hujan Lebat,"Um'at, 10 April 2026 pkl 16.45 WIBLokasi : Dusun Cibawang RT 01 RW 11 Desa Sukasirnarasa Kec. RancakalongPada hari Jumat, 10 April 2026 Pukul 16.45 WIB cuaca EXTREME ( Hujan dengan Intensitas Tinggi) mengakibatkan TPT halaman rumah longsor panjang 10 meter dan tinggi 4 meter.",,https://www.lapor.go.id/laporan/detil/tpt-halaman-rumah-ambruk-akibat-intensitas-hujan-lebat-202604140833331776130413241
